----Starting Signal 3, log file name: C:\Temp\ASC3Logs\3\ECON_10.112.3.2_2024_03_29_1045.dat
header line 1: ,Version #:,3

header line 1: 3-29-2024 10:45:00.0,ECON_10.112.3.2_2024_03_29_1045.dat

header line 1: 3-29-2024 10:45:00.0,Intersection #:,10.112.3.2

header line 1: 3-29-2024 10:45:00.0,IP Address:,10.112.3.2

header line 1: 3-29-2024 10:45:00.0,MAC Address:,00:04:81:02:91:74

header line 1: 3-29-2024 10:45:00.0,Controller Data Log Beginning:,3/29/2024,10:45:00.0

header line 1: 3-29-2024 10:45:00.0,Phases in use:,2,4,5,6,8

3/29/2024 10:50:37 AM 82 2
3/29/2024 10:50:37 AM 81 2
3/29/2024 10:50:38 AM 82 2
3/29/2024 10:50:41 AM 81 2
3/29/2024 10:50:42 AM 21 2
3/29/2024 10:50:42 AM 21 6
3/29/2024 10:50:42 AM 46 4
3/29/2024 10:50:42 AM 46 8
3/29/2024 10:50:51 AM 82 2
3/29/2024 10:50:52 AM 81 2
3/29/2024 10:50:53 AM 82 2
3/29/2024 10:50:54 AM 82 6
3/29/2024 10:50:57 AM 81 2
3/29/2024 10:50:57 AM 81 6
3/29/2024 10:51:00 AM 82 2
3/29/2024 10:51:01 AM 81 2
3/29/2024 10:51:04 AM 82 6
3/29/2024 10:51:05 AM 82 8
3/29/2024 10:51:05 AM 43 8
3/29/2024 10:51:06 AM 81 6
3/29/2024 10:51:07 AM 82 6
3/29/2024 10:51:09 AM 81 6
3/29/2024 10:51:09 AM 81 8
3/29/2024 10:51:09 AM 44 8
3/29/2024 10:51:29 AM 82 6
3/29/2024 10:51:30 AM 81 6
3/29/2024 10:51:31 AM 82 2
3/29/2024 10:51:33 AM 81 2
3/29/2024 10:51:40 AM 150 5
3/29/2024 10:51:40 AM 82 6
3/29/2024 10:51:41 AM 81 6
3/29/2024 10:51:43 AM 150 1
3/29/2024 10:51:49 AM 22 6
3/29/2024 10:51:49 AM 47 8
3/29/2024 10:51:49 AM 49 8
3/29/2024 10:51:49 AM 151 6
3/29/2024 10:51:58 AM 22 2
3/29/2024 10:51:58 AM 47 4
3/29/2024 10:51:58 AM 49 4
3/29/2024 10:51:58 AM 151 2
3/29/2024 10:52:05 AM 23 2
3/29/2024 10:52:05 AM 23 6
3/29/2024 10:52:05 AM 3 2
3/29/2024 10:52:05 AM 3 6
3/29/2024 10:52:06 AM 48 4
3/29/2024 10:52:08 AM 82 5
3/29/2024 10:52:08 AM 43 5
3/29/2024 10:52:11 AM 82 6
3/29/2024 10:52:12 AM 81 5
3/29/2024 10:52:12 AM 81 6
3/29/2024 10:52:12 AM 44 5
