Log file folder doesn't exsit for signal 121
Log file folder doesn't exsit for signal 122
Log file folder doesn't exsit for signal 123
Log file folder doesn't exsit for signal 124
----Starting Signal 126, log file name: C:\Temp\ASC3Logs\126\ECON_10.112.126.2_2024_03_29_1130.dat
header line 1: ,Version #:,3

header line 1: 3-29-2024 11:30:00.0,ECON_10.112.126.2_2024_03_29_1130.dat

header line 1: 3-29-2024 11:30:00.0,Intersection #:,10.112.126.2

header line 1: 3-29-2024 11:30:00.0,IP Address:,10.112.126.2

header line 1: 3-29-2024 11:30:00.0,MAC Address:,00:04:81:02:79:74

header line 1: 3-29-2024 11:30:00.0,Controller Data Log Beginning:,3/29/2024,11:30:00.0

header line 1: 3-29-2024 11:30:00.0,Phases in use:,2,4,5,6,7,8

3/29/2024 11:31:31 AM 44 4
3/29/2024 11:31:35 AM 3 4
3/29/2024 11:31:35 AM 3 8
3/29/2024 11:31:36 AM 7 4
3/29/2024 11:31:36 AM 7 8
3/29/2024 11:31:36 AM 8 4
3/29/2024 11:31:36 AM 8 8
3/29/2024 11:31:36 AM 4 4
3/29/2024 11:31:36 AM 4 8
3/29/2024 11:31:36 AM 46 5
3/29/2024 11:31:36 AM 48 5
3/29/2024 11:31:40 AM 10 4
3/29/2024 11:31:40 AM 10 8
3/29/2024 11:31:40 AM 9 4
3/29/2024 11:31:40 AM 9 8
3/29/2024 11:31:42 AM 0 2
3/29/2024 11:31:42 AM 0 6
3/29/2024 11:31:42 AM 11 4
3/29/2024 11:31:42 AM 11 8
3/29/2024 11:31:42 AM 1 2
3/29/2024 11:31:42 AM 1 6
3/29/2024 11:31:42 AM 12 4
3/29/2024 11:31:42 AM 12 8
3/29/2024 11:31:42 AM 31 2
3/29/2024 11:31:42 AM 61 2
3/29/2024 11:31:42 AM 61 3
3/29/2024 11:31:42 AM 61 6
3/29/2024 11:31:42 AM 82 2
3/29/2024 11:31:42 AM 46 4
3/29/2024 11:31:42 AM 46 8
3/29/2024 11:31:42 AM 48 4
3/29/2024 11:31:42 AM 48 8
3/29/2024 11:31:52 AM 81 6
3/29/2024 11:31:53 AM 81 2
3/29/2024 11:31:53 AM 44 2
3/29/2024 11:31:53 AM 44 6
3/29/2024 11:31:56 AM 82 2
3/29/2024 11:31:56 AM 43 2
3/29/2024 11:31:56 AM 43 6
3/29/2024 11:31:57 AM 81 2
